asdf_id,worldbank_geocodedresearchrelease_level1_v1_4_2.fa137b9.sum,v4composites_calibrated_201709.2009.count,v4composites_calibrated_201709.2009.mean,udel_precip_mean.2009.mean,ucdp_deaths_171.2009.sum,ltdr_avhrr_ndvi_v4_yearly.2009.mean,gpw_v4_density.2010.count,gpw_v4_density.2010.mean,gpw_v4_density.2010.max,gpw_v4_density.2010.min,esa_landcover_v207.2010.categorical_count,esa_landcover_v207.2010.categorical_mosaic_cropland,esa_landcover_v207.2010.categorical_rainfed_cropland,esa_landcover_v207.2010.categorical_shrubland,esa_landcover_v207.2010.categorical_urban,esa_landcover_v207.2010.categorical_water_bodies,esa_landcover_v207.2010.categorical_forest,esa_landcover_v207.2010.categorical_no_data,esa_landcover_v207.2010.categorical_bare_areas,esa_landcover_v207.2010.categorical_sparse_vegetation,esa_landcover_v207.2010.categorical_grassland,esa_landcover_v207.2010.categorical_wetland,esa_landcover_v207.2010.categorical_irrigated_cropland,esa_landcover_v207.2010.categorical_snow_ice,distance_to_coast_236.none.max,distance_to_coast_236.none.count,distance_to_coast_236.none.mean,distance_to_coast_236.none.min,dist_to_water.none.mean,dist_to_water.none.max,dist_to_water.none.min,dist_to_groads.none.mean,dist_to_groads.none.max,dist_to_groads.none.min,dist_to_gadm28_borders.none.mean,dist_to_gadm28_borders.none.max,dist_to_gadm28_borders.none.min,africa_child_mortality.2000.mean,acled_v3_count.none.sum,acled_v3_count.none.mean,acled_v3_count.none.count,access_50k.none.mean,access_50k.none.max,access_50k.none.min,NAME_2,NAME_0,NAME_1,VARNAME_2,TYPE_2,Shape_Area,ENGTYPE_2,Shape_Length,HASC_2,ID_2,CCA_2,ID_0,ID_1,ISO,CCN_2,NL_NAME_2
20,57468635.0098,3194.09008789,0.240524577224,116.5400595240176,0.0,5788.96414178,3194.10009766,60.2956954095,258.244018555,22.1957550049,28592,4629,9192,1068,77,0,13626,0,0,0,0,0,0,0,240356.724926,2220.37988281,214703.833294,187988.622475,60895.3142437,96075.2575067,17445.7883214,3812.46670994,13279.7892306,0.0,171264.245622,191333.488833,146632.39241,23.1220208233401,1.37000001408,0.0612459287884,23.5200004578,243.000547426,790.0,40.0,Sekyere West,Ghana,Ashanti,,District,0.220624,District,2.171645,GH.AH.SW,21,,87,1,GHA,,
21,21133847.9135,1375.82995605,0.171653760199,105.525,0.0,6243.81021713,1375.83996582,77.4454033428,77.8111572266,67.5409011841,12310,384,6166,8,57,0,5695,0,0,0,0,0,0,0,218601.012573,957.010009766,198127.347442,175517.457568,98696.0229446,120004.604077,79959.313191,3145.51654203,8963.87304995,0.0,47157.0845589,63775.0869814,26116.5095635,17.63979068984891,0.0,0.0,10.1800003052,243.024882244,529.0,92.0,Asunafo North,Ghana,Brong Ahafo,,District,0.094977,District,1.175329,,22,,87,2,GHA,,
22,22585333.9314,1036.63000488,0.161110999776,110.43964282840629,0.0,6411.32254198,1036.64001465,108.605294268,145.907577515,67.5409011841,9246,78,8049,2,88,0,1029,0,0,0,0,0,0,0,201891.786498,720.989990234,179084.12428,157181.696105,109193.492812,123945.677434,85071.898387,2510.27693143,8905.68,0.0,73339.2682778,91657.4966015,48533.173897,18.301122918738674,0.0,0.0,7.90999984741,211.441197946,480.0,106.0,Asunafo South,Ghana,Brong Ahafo,,District,0.071302,District,1.280393,,23,,87,2,GHA,,
23,27476166.8341,1922.77990723,1.06521377675,103.07551243442224,0.0,6448.75762987,1922.77990723,76.4155551416,176.70085144,67.5409011841,17185,1774,11464,78,117,29,3721,0,0,0,2,0,0,0,241831.862898,1337.38000488,219564.771807,189465.675028,119058.749338,146729.441655,86792.4446798,2550.67287478,8000.53018698,0.0,61033.7231296,90971.3662897,27913.2096602,15.400385481353133,0.0,0.0,14.5599994659,161.02028162,415.0,35.0,Asutifi,Ghana,Brong Ahafo,,District,0.132524,District,1.93589,GH.BA.AT,24,,87,2,GHA,,
24,31021295.6816,1817.32995605,0.0891214341213,113.79036113328435,0.0,5103.16323169,1817.32995605,45.5407924098,64.7862854004,17.5182285309,16271,1268,1808,77,44,0,13073,0,0,0,1,0,0,0,271217.458104,1264.06005859,251318.212639,226454.744867,43741.7139188,71862.1694632,17777.6153182,3015.74224086,14622.3103573,0.0,161528.13933,174736.439199,145624.002415,24.096031056700557,0.0,0.0,13.6400003433,289.616990813,911.0,121.0,Atebubu-Amantin,Ghana,Brong Ahafo,,District,0.125298,District,1.834899,,25,,87,2,GHA,,
25,29277606.8398,1221.81005859,0.484570054465,92.48649602922866,0.0,6066.88399863,1221.80004883,135.012626709,147.138977051,26.0858688354,10906,1902,8715,69,185,0,35,0,0,0,0,0,0,0,295430.68357,850.41998291,273496.479972,253875.753128,86366.4671904,105236.776894,71477.8289361,2919.44140882,8818.98360983,0.0,34730.1358708,54315.0547658,9430.03513079,19.41561066807697,3.0,0.327203089797,9.17000007629,146.643565042,382.0,30.0,Berekum,Ghana,Brong Ahafo,,District,0.084193,District,1.281679,GH.BA.BE,26,,87,2,GHA,,
26,37632299.903,2674.66015625,0.22306521369,96.09412600392847,0.0,6236.90593957,2674.66992188,94.5870124651,176.70085144,45.6494979858,23911,1289,18424,12,218,0,3968,0,0,0,0,0,0,0,267955.25313,1859.14990234,236070.813147,197758.413679,79495.9602492,118139.295158,52054.0512731,2365.11655595,8457.70963999,0.0,19675.0968188,59944.8632197,0.0,16.19345435049957,0.0,0.0,19.9599990845,165.54335281,498.0,25.0,Dormaa,Ghana,Brong Ahafo,,District,0.184522,District,2.23564,GH.BA.DO,27,,87,2,GHA,,
27,18730266.9392,806.200012207,0.103262684769,86.96005545788628,0.0,5578.00773659,806.190002441,102.719762941,144.719787598,25.9925842285,7164,1586,647,189,62,0,4680,0,0,0,0,0,0,0,349475.996607,561.489990234,318177.651485,295199.858264,59670.7270994,79899.9213957,32573.2990977,3488.36747621,10194.1994957,0.0,9205.86165099,29422.6286338,0.0,24.341203929046838,0.0,0.0,6.26000022888,236.90860361,579.0,56.0,Jaman North,Ghana,Brong Ahafo,,District,0.055349,District,1.278907,,28,,87,2,GHA,,
28,15430111.2841,1072.35998535,0.143630147783,87.11291703111795,0.0,6019.12731913,1072.34997559,110.3174124,147.138977051,27.9483127594,9559,2577,5968,126,77,0,811,0,0,0,0,0,0,0,319881.086103,745.739990234,286879.898921,263406.710389,78201.0890845,90131.1242904,63088.6470369,2537.81837312,7713.0054996,0.0,10397.7789014,29186.2711284,0.0,19.039474823939745,1.0,0.120781376367,8.27999973297,180.105986737,481.0,48.0,Jaman South,Ghana,Brong Ahafo,,District,0.073729,District,1.386017,,29,,87,2,GHA,,
29,86233963.1688,5374.62011719,0.0511904226006,104.63675774291191,0.0,5032.23257895,5374.62011719,19.6804187225,47.3611335754,10.1748380661,48158,469,825,3305,43,29,43484,0,0,0,1,1,1,0,387397.833945,3735.16992188,350597.922717,303248.530306,14402.9738701,45966.7909806,0.0,9427.66553189,25603.83,0.0,104023.948455,150853.051339,61630.2011572,27.135888334153385,0.34999999404,0.0107850372545,38.9799995422,521.071294986,1316.0,142.0,Kintampo North,Ghana,Brong Ahafo,,District,0.371709,District,2.930943,,30,,87,2,GHA,,
