school_name,type,Region,District,source_page,scraped_date,data_source,district_key,latitude,longitude,electrification_national,electrification_rural_national,electrification_urban_national,mpi_score,youth_literacy_count,wash_access,water_access_rate,sanitation_access_rate,dist_to_water,access_50k_minutes,night_light_intensity,dist_to_roads
Zamse Senior High/Tech,Senior High School,Upper East,Bolgatanga Municipal,31.0,2026-04-07 10:21,GES Official Directory,bolgatanga municipal,10.7853963,-0.8487322,0.8948895,0.778,0.9753000000000001,0.1,25491.0,0.7427326873499867,0.99356979879693,0.4918955759030432,19420.966905261997,114.04595528832002,0.178898332482,3075.68742016
Zebilla Senior High/Tech,Senior High Technical School,Upper East,Bawku West,31.0,2026-04-07 10:21,GES Official Directory,bawku west,10.9389244,-0.4808034,0.8948895,0.778,0.9753000000000001,0.2,20599.0,0.6305392120354509,0.9704699486110075,0.2906084754598942,9198.69282871,124.411418834,0.16187526115,3127.49283048
Ziavi Senior High/Tech,Senior High Technical School,Volta,Ho Municipal,31.0,2026-04-07 10:21,GES Official Directory,ho municipal,6.6126598,0.4688932,0.8948895,0.778,0.9753000000000001,0.11234567901234566,17326.024691358023,0.941354079058032,0.9555592935239696,0.9271488645920942,7309.203196324168,147.93714598925,0.5152197607643333,2198.005448380833
Zion Senior High,Senior High Technical School,Volta,Keta Municipal,31.0,2026-04-07 10:21,GES Official Directory,keta municipal,5.9215688,0.9910728,0.8948895,0.778,0.9753000000000001,0.1,16411.0,0.8479094431980421,0.9421170711809096,0.7537018152151744,7309.203196324168,147.93714598925,0.5152197607643333,2198.005448380833
Zorkor Senior High,Senior High Technical School,Upper East,Bongo,31.0,2026-04-07 10:21,GES Official Directory,bongo,10.9014082,-0.9013563,0.8948895,0.778,0.9753000000000001,0.3,20170.0,0.5878058954393771,0.989247311827957,0.1863644790507972,30111.2330786,145.019332411,0.142431467639,3864.45561001
Zuarungu Senior High,Senior High Technical School,Upper East,Bolgatanga East,31.0,2026-04-07 10:21,GES Official Directory,bolgatanga east,10.7963952,-0.8070631,0.8948895,0.778,0.9753000000000001,0.1,7048.0,0.6321332353661524,0.9944893460690668,0.2697771246632378,19420.966905261997,114.04595528832002,0.178898332482,3075.68742016
Yamfo Technical Institute,Technical/Vocational,Ahafo,Tana North,,,2025 Register DOCX,tana north,5.6116532,-0.2416727,0.8948895,0.778,0.9753000000000001,0.1,15955.608695652174,0.9181860077328698,0.9067351640477092,0.9296368514180308,106591.83019763199,148.42731240008,0.37817968604568003,2527.1631141124
Adako Jachie Technical Institute,Technical/Vocational,Ashanti,Ejisu Municipal,,,2025 Register DOCX,ejisu municipal,6.7139918,-1.4665782,0.8948895,0.778,0.9753000000000001,0.1,34953.0,0.9771443909810316,0.9952280590130036,0.9590607229490596,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Kumasi Tech. Inst.,Technical/Vocational,Ashanti,Kumasi Metro,,,2025 Register DOCX,kumasi metro,6.6860849,-1.623289,0.8948895,0.778,0.9753000000000001,0.08846153846153847,25603.746153846154,0.9235176668482755,0.9440811138747686,0.9029542198217829,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Suame Technical Institute,Technical/Vocational,Ashanti,Suame Municipal,,,2025 Register DOCX,suame municipal,6.7163628,-1.6369204,0.8948895,0.778,0.9753000000000001,0.0,25358.0,0.9972639584492672,0.997936375440549,0.9965915414579856,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Dormaa Technical Institute,Technical/Vocational,Bono,Dormaa Central Municipal,,,2025 Register DOCX,dormaa central municipal,7.2670896,-2.8677897,0.8948895,0.778,0.9753000000000001,0.1,21333.0,0.971612352728824,0.9900233008434248,0.9532014046142232,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Nkoranza Tech Inst.,Senior High School,Bono East,Nkoranza South Municipal,,,2025 Register DOCX,nkoranza south municipal,7.5661734,-1.7073704,0.8948895,0.778,0.9753000000000001,0.1,21034.0,0.8475708775965898,0.9343663306042358,0.7607754245889438,42290.33319406428,278.16380118278573,0.43796246186061427,3890.629855290714
Assin Faso Technical Institute,Technical/Vocational,Central,Assin North,,,2025 Register DOCX,assin north,5.8254569,-1.3739272,0.8948895,0.778,0.9753000000000001,0.1,15266.0,0.9169798350137488,0.9161319890009166,0.9178276810265812,73827.6219896,188.360271744,0.327607232295,3049.7218773
Cape Coast Tech. Inst.,Technical/Vocational,Central,Cape Coast Metro,,,2025 Register DOCX,cape coast metro,5.5649601,-0.2350586,0.8948895,0.778,0.9753000000000001,0.09701492537313429,24018.014925373136,0.9171775590939981,0.9508606910981735,0.8834944270898226,36238.428974856244,109.82855210539375,6.100843503336218,1980.293157856875
Winneba Technical Institute,Technical/Vocational,Central,Effutu Municipal,,,2025 Register DOCX,effutu municipal,5.3833922,-0.5973956,0.8948895,0.778,0.9753000000000001,0.1,30073.0,0.9497797494454684,0.9990940048111469,0.90046549407979,36238.428974856244,109.82855210539375,6.100843503336218,1980.293157856875
Panfokrom Technical Institute,Technical/Vocational,Central,Gomoa East,,,2025 Register DOCX,gomoa east,5.5282302,-0.4236187,0.8948895,0.778,0.9753000000000001,0.1,53839.0,0.9421240491515506,0.9755880631948508,0.9086600351082504,36238.428974856244,109.82855210539375,6.100843503336218,1980.293157856875
Biriwa Technical Institute,Technical/Vocational,Central,Mfantseman Municipal,,,2025 Register DOCX,mfantseman municipal,5.20461,-1.052489,0.8948895,0.778,0.9753000000000001,0.09701492537313429,24018.014925373136,0.9171775590939981,0.9508606910981735,0.8834944270898226,36238.428974856244,109.82855210539375,6.100843503336218,1980.293157856875
Kibi Technical Institute,Technical/Vocational,Eastern,Abuakwa South Municipal,,,2025 Register DOCX,abuakwa south municipal,6.2877174,-0.4660908,0.8948895,0.778,0.9753000000000001,0.1,17855.0,0.9341162345702172,0.9076276591753274,0.9606048099651072,32661.8807107,132.8778183930074,1.712440318446963,3086.185355472963
St. Paul'S Tech. Inst.,Technical/Vocational,Eastern,Abuakwa North Municipal,,,2025 Register DOCX,abuakwa north municipal,6.7416148,-1.7311057,0.8948895,0.778,0.9753000000000001,0.1,16375.0,0.9590817073696,0.963991902485248,0.9541715122539518,32661.8807107,132.8778183930074,1.712440318446963,3086.185355472963
Abetifi Kyemase Technical Institute,Technical/Vocational,Eastern,Kwahu East,,,2025 Register DOCX,kwahu east,6.6722637,-0.7488924,0.8948895,0.778,0.9753000000000001,0.1,16774.0,0.752443432855804,0.759941089837997,0.7449457758736109,32661.8807107,132.8778183930074,1.712440318446963,3086.185355472963
Koforidua Tech. Inst.,Technical/Vocational,Eastern,New Juaben South,,,2025 Register DOCX,new juaben south,6.0913691,-0.2591026,0.8948895,0.778,0.9753000000000001,0.10989010989010989,16272.791208791208,0.8559920513012826,0.85564831516937,0.8563357874331952,32661.8807107,132.8778183930074,1.712440318446963,3086.185355472963
"St. Mary'S Technical Institute, Asamankese",Technical/Vocational,Eastern,West Akim Municipal,,,2025 Register DOCX,west akim municipal,5.8608899,-0.6662804,0.8948895,0.778,0.9753000000000001,0.1,20575.0,0.9040060569030098,0.8695374970113965,0.9384746167946232,32661.8807107,132.8778183930074,1.712440318446963,3086.185355472963
Dabokpa Voc/Tech. Inst.,Technical/Vocational,Northern,Tamale Metropolitan,,,2025 Register DOCX,tamale metro,9.3654569,-0.8381328,0.8948895,0.778,0.9753000000000001,0.19047619047619047,21699.95238095238,0.627540150680752,0.7767991424139802,0.47828115894752365,22896.57384383,259.69517053575,0.02610238540715,4439.2526091125
Bawku Tech. Inst.,Technical/Vocational,Upper East,Bawku Municipal,,,2025 Register DOCX,bawku municipal,11.0607602,-0.2422876,0.8948895,0.778,0.9753000000000001,0.20303030303030303,16093.787878787878,0.6892998306041784,0.9307493748487538,0.4478502863596031,13841.8377702,77.8898463928,0.223876732991,2261.01652515
Bolga Tech. Inst.,Technical/Vocational,Upper East,Bolgatanga Municipal,,,2025 Register DOCX,bolgatanga municipal,10.7853963,-0.8487322,0.8948895,0.778,0.9753000000000001,0.1,25491.0,0.7427326873499867,0.99356979879693,0.4918955759030432,19420.966905261997,114.04595528832002,0.178898332482,3075.68742016
Wa Tech. Inst.,Technical/Vocational,Upper West,Wa Municipal,,,2025 Register DOCX,wa municipal,10.0623261,-2.5054273,0.8948895,0.778,0.9753000000000001,0.2058823529411765,10774.823529411764,0.8649224923705006,0.9822753087168292,0.7475696760241719,56774.09910780001,258.6515075106,0.0091549326446,4456.609446894001
Anlo Tech. Inst.,Technical/Vocational,Volta,Anloga Municipal,,,2025 Register DOCX,anloga municipal,5.7936484,0.8984702,0.8948895,0.778,0.9753000000000001,0.11234567901234566,17326.024691358023,0.8548501060464653,0.8715017142877199,0.8381984978052108,7309.203196324168,147.93714598925,0.5152197607643333,2198.005448380833
Kpando Tech. Inst.,Technical/Vocational,Volta,Kpando Municipal,,,2025 Register DOCX,kpando municipal,6.9971645,0.2937002,0.8948895,0.778,0.9753000000000001,0.1,12287.0,0.9047645802899202,0.9201033824025172,0.8894257781773233,7309.203196324168,147.93714598925,0.5152197607643333,2198.005448380833
Takoradi Tech. Inst.,Technical/Vocational,Western,"Effia Kwesimitsim
Municipal",,,2025 Register DOCX,"effia kwesimitsim
municipal",,,0.8948895,0.778,0.9753000000000001,0.12,23236.7,0.8521898879211867,0.8626292891544571,0.8417504866879165,14507.506501781667,226.74040076483334,1.6303320855164998,1908.8030374483333
Ola,Senior High School,Ahafo,Asutifi North,,,2025 Register DOCX,asutifi north,6.9863163,-2.3956741,0.8948895,0.778,0.9753000000000001,0.1,12975.0,0.9530535310379492,0.95908519728575,0.9470218647901484,106591.83019763199,148.42731240008,0.37817968604568003,2527.1631141124
Serwaa Kesse,Senior High School,Ahafo,Tano North,,,2025 Register DOCX,tano north,7.1880343,-2.0966694,0.8948895,0.778,0.9753000000000001,0.1,15955.608695652174,0.9181860077328698,0.9067351640477092,0.9296368514180308,105625.816122,114.18772232,0.335747511008,2713.01817224
"St. Louis Senior High, Kumasi",Senior High School,Ashanti,Kumasi Metro,,,2025 Register DOCX,kumasi metro,6.6860849,-1.623289,0.8948895,0.778,0.9753000000000001,0.08846153846153847,25603.746153846154,0.9235176668482755,0.9440811138747686,0.9029542198217829,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Kumasi High School,Senior High School,Ashanti,Kumasi Metro,,,2025 Register DOCX,kumasi metro,6.6860849,-1.623289,0.8948895,0.778,0.9753000000000001,0.08846153846153847,25603.746153846154,0.9235176668482755,0.9440811138747686,0.9029542198217829,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Opoku Ware School,Senior High School,Ashanti,Kumasi Metro,,,2025 Register DOCX,kumasi metro,6.6860849,-1.623289,0.8948895,0.778,0.9753000000000001,0.08846153846153847,25603.746153846154,0.9235176668482755,0.9440811138747686,0.9029542198217829,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Prempeh College,Senior High School,Ashanti,Kumasi Metro,,,2025 Register DOCX,kumasi metro,6.6860849,-1.623289,0.8948895,0.778,0.9753000000000001,0.08846153846153847,25603.746153846154,0.9235176668482755,0.9440811138747686,0.9029542198217829,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
"T. I. Ahmadiyya Senior High , Kumasi",Senior High School,Ashanti,Kumasi Metro,,,2025 Register DOCX,kumasi metro,6.6860849,-1.623289,0.8948895,0.778,0.9753000000000001,0.08846153846153847,25603.746153846154,0.9235176668482755,0.9440811138747686,0.9029542198217829,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Yaa Asantewaa,Senior High School,Ashanti,Kumasi Metro,,,2025 Register DOCX,kumasi metro,6.6860849,-1.623289,0.8948895,0.778,0.9753000000000001,0.08846153846153847,25603.746153846154,0.9235176668482755,0.9440811138747686,0.9029542198217829,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Konongo Odumase Senior High,Senior High School,Ashanti,Asante Akim Central,,,2025 Register DOCX,asante akim central,6.6612701,-1.1790786,0.8948895,0.778,0.9753000000000001,0.08846153846153847,25603.746153846154,0.9235176668482755,0.9440811138747686,0.9029542198217829,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Berekum Presby Senior High,Senior High School,Bono,Berekum Municipal,,,2025 Register DOCX,berekum municipal,7.450473,-2.5824981,0.8948895,0.778,0.9753000000000001,0.10270270270270271,19578.702702702703,0.9224967070571669,0.9797179934441175,0.8652754206702163,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Our Lady Of Providence Senior High,Senior High School,Bono,Jaman South,,,2025 Register DOCX,jaman south,7.6203656,-2.7963718,0.8948895,0.778,0.9753000000000001,0.1,20320.0,0.9545355784899512,0.9898605830164764,0.9192105739634256,78201.0890845,180.105986737,0.143630147783,2537.81837312
"St. James Sem & Senior High, Abesim",Senior High School,Bono,Sunyani Municipal,,,2025 Register DOCX,sunyani municipal,7.3384389,-2.3309226,0.8948895,0.778,0.9753000000000001,0.10270270270270271,19578.702702702703,0.9796806196615204,0.9863830088245176,0.9729782304985234,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Sunyani Senior High,Senior High School,Bono,Sunyani Municipal,,,2025 Register DOCX,sunyani municipal,7.3162679,-2.3126727,0.8948895,0.778,0.9753000000000001,0.10270270270270271,19578.702702702703,0.9796806196615204,0.9863830088245176,0.9729782304985234,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Notre Dame,Senior High School,Bono,Sunyani West,,,2025 Register DOCX,sunyani west,7.3601872,-2.3575152,0.8948895,0.778,0.9753000000000001,0.10270270270270271,19578.702702702703,0.9224967070571669,0.9797179934441175,0.8652754206702163,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Adisadel College,Senior High School,Central,Cape Coast Metro,,,2025 Register DOCX,cape coast metro,5.5649601,-0.2350586,0.8948895,0.778,0.9753000000000001,0.09701492537313429,24018.014925373136,0.9171775590939981,0.9508606910981735,0.8834944270898226,36238.428974856244,109.82855210539375,6.100843503336218,1980.293157856875
"Holy Child School, Cape Coast",Senior High School,Central,Cape Coast Metro,,,2025 Register DOCX,cape coast metro,5.5649601,-0.2350586,0.8948895,0.778,0.9753000000000001,0.09701492537313429,24018.014925373136,0.9171775590939981,0.9508606910981735,0.8834944270898226,36238.428974856244,109.82855210539375,6.100843503336218,1980.293157856875
