school,region,lat,lon,reason
"ST. AUGUSTINE SENIOR HIGH/TECH SCHOOL, SAAN CHARIKPONG",UPPER WEST,,,MISSING
ATWIMA KWANWOMA SENIOR HIGH/TECH SCHOOL,ASHANTI,10.9324723,-0.9735882,"LAT 10.9325 outside (5.55, 7.8)"
KWANWOMA SENIOR HIGH SCHOOL,ASHANTI,10.6593164,-1.268658,"LAT 10.6593 outside (5.55, 7.8)"
TAKPO SENIOR HIGH SCHOOL,UPPER WEST,5.4234565,-0.9611574,"LAT 5.4235 outside (9.3, 11.2)"
SOMBO SENIOR HIGH SCHOOL,UPPER WEST,5.9668857,-0.9929572,"LAT 5.9669 outside (9.3, 11.2)"
DR. HILA LIMAN SENIOR HIGH SCHOOL,UPPER WEST,5.7065864,-0.1702485,"LAT 5.7066 outside (9.3, 11.2)"
WALEWALE SENIOR HIGH SCHOOL,NORTH EAST,9.4226781,-0.8620235,"LAT 9.4227 outside (9.6, 11.2)"
AMEYAW AKUMFI SENIOR HIGH/TECH SCHOOL,BONO EAST,10.0272463,-0.9731496,"LAT 10.0272 outside (7.1, 9.0)"
MOKWAA SENIOR HIGH SCHOOL,CENTRAL,10.6593164,-1.268658,"LAT 10.6593 outside (4.7, 6.5)"
SACRED HEART TECH. INST.,GREATER ACCRA,7.0019071,0.2598156,"LAT 7.0019 outside (5.15, 6.2)"
EREMON SENIOR HIGH/TECH SCHOOL,UPPER WEST,6.6556435,-1.1071968,"LAT 6.6556 outside (9.3, 11.2)"
SANDEMA SENIOR HIGH/TECH SCHOOL,UPPER EAST,10.0272463,-0.9731496,"LAT 10.0272 outside (10.2, 11.4)"
DIAMONO SENIOR HIGH SCHOOL,BONO,9.4273607,-0.8767444,"LAT 9.4274 outside (6.8, 8.7)"
NCHUMURUMAN COMM. DAY SENIOR HIGH SCHOOL,OTI,5.9668857,-0.9929572,"LAT 5.9669 outside (6.75, 9.4)"
NSUTAMAN CATH. SENIOR HIGH SCHOOL,ASHANTI,9.4226781,-0.8620235,"LAT 9.4227 outside (5.55, 7.8)"
ST. ANTHONY OF PADUA SENIOR HIGH/TECH SCHOOL,SAVANNAH,4.9118697,-1.7874429,"LAT 4.9119 outside (8.2, 11.2)"
JIRAPA SENIOR HIGH SCHOOL,UPPER WEST,10.6593164,-1.268658,"LON -1.2687 outside (-3.1, -1.3)"
EDINAMAN SENIOR HIGH SCHOOL,CENTRAL,7.142572,-1.6406402,"LAT 7.1426 outside (4.7, 6.5)"
ST. JOHN'S INTEGRATED SENIOR HIGH/TECH SCHOOL,UPPER EAST,,,MISSING
OBRACHIRE SENIOR HIGH/TECH SCHOOL,CENTRAL,7.2316721,-2.1751937,"LAT 7.2317 outside (4.7, 6.5)"
NAVRONGO SENIOR HIGH SCHOOL,UPPER EAST,5.9926294,0.8187733,"LAT 5.9926 outside (10.2, 11.4)"
GWIRAMAN COMM.SENIOR HIGH SCHOOL,WESTERN,10.6593164,-1.268658,"LAT 10.6593 outside (4.35, 6.6)"
MANSO-AMENFI COMM. DAY SENIOR HIGH SCHOOL,WESTERN NORTH,7.993766,-0.326021,"LAT 7.9938 outside (5.3, 7.25)"
DOFOR SENIOR HIGH SCHOOL,VOLTA,10.9014082,-0.9013563,"LAT 10.9014 outside (5.3, 8.95)"
"ST. AUGUSTINE SENIOR HIGH SCHOOL, NSAPOR- BEREKUM",BONO,,,MISSING
OSEI BONSU SENIOR HIGH SCHOOL,BONO EAST,10.29697,-0.0907052,"LAT 10.2970 outside (7.1, 9.0)"
KETE KRACHI SENIOR HIGH/TECH SCHOOL,OTI,7.2316721,-2.1751937,"LON -2.1752 outside (-0.45, 1.0)"
BUEMAN SENIOR HIGH SCHOOL,OTI,5.5950893,-0.277005,"LAT 5.5951 outside (6.75, 9.4)"
KRACHI SENIOR HIGH SCHOOL,OTI,7.2316721,-2.1751937,"LON -2.1752 outside (-0.45, 1.0)"
NTRUBOMAN SENIOR HIGH SCHOOL,OTI,5.9668857,-0.9929572,"LAT 5.9669 outside (6.75, 9.4)"
YABRAM COMM. DAY SCHOOL,OTI,7.2045812,-2.591577,"LON -2.5916 outside (-0.45, 1.0)"
OTI SENIOR HIGH/TECH SCHOOL,OTI,6.6556435,-1.1071968,"LAT 6.6556 outside (6.75, 9.4)"
