school,region,method,old_lat,old_lon,new_lat,new_lon
SEFWI-WIAWSO SENIOR HIGH SCHOOL,WESTERN NORTH,TOWN_LOOKUP:SEFWI-WIAWSO,10.6593164,-1.268658,6.2,-2.5
NEW NSUTAM SENIOR HIGH/TECH SCHOOL,EASTERN,TOWN_LOOKUP:NEW NSUTAM,5.102919,-1.3921394,6.45,-1.35
WORAWORA SENIOR HIGH SCHOOL,OTI,TOWN_LOOKUP:WORAWORA,10.9014082,-0.9013563,7.95,0.35
BOWIRI COMM. DAY SCHOOL,OTI,TOWN_LOOKUP:BOWIRI,7.308312,0.3196626,7.95,0.35
FOMENA T.I. AHMAD SENIOR HIGH SCHOOL,ASHANTI,TOWN_LOOKUP:FOMENA,5.5009936,-0.7618399,6.2667,-1.4833
HWIDIEM SENIOR HIGH SCHOOL,AHAFO,TOWN_LOOKUP:HWIDIEM,5.7065864,-0.1702485,7.0667,-2.6833
ACHERENSUA SENIOR HIGH SCHOOL,AHAFO,TOWN_LOOKUP:ACHERENSUA,5.8771706,0.3662603,7.25,-2.3
YEJI SENIOR HIGH/TECH SCHOOL,BONO EAST,TOWN_LOOKUP:YEJI,10.0272463,-0.9731496,8.1,-0.6333
BODI SENIOR HIGH SCHOOL,WESTERN NORTH,TOWN_LOOKUP:BODI,5.9668857,-0.9929572,6.05,-2.85
PEKI SENIOR HIGH/TECHNICAL SCHOOL,VOLTA,TOWN_LOOKUP:PEKI,6.6556435,-1.1071968,6.5407,0.2333
PEKI SENIOR HIGH SCHOOL,VOLTA,TOWN_LOOKUP:PEKI,5.5950893,-0.277005,6.5407,0.2333
KPANDAI SENIOR HIGH SCHOOL,NORTHERN,TOWN_LOOKUP:KPANDAI,5.8771706,0.3662603,8.4753,-0.0283
WAMANAFO SENIOR HIGH/TECH SCHOOL,BONO,TOWN_LOOKUP:WAMANAFO,10.0272463,-0.9731496,7.6,-2.4
KINTAMPO SENIOR HIGH SCHOOL,BONO EAST,TOWN_LOOKUP:KINTAMPO,6.6903393,-1.5480316,8.061,-1.7233
GYARKO COMM. DAY SENIOR HIGH SCHOOL,BONO EAST,SCHOOL_OVERRIDE,5.9668857,-0.9929572,7.8,-1.4
KWABRE SENIOR HIGH SCHOOL,BONO EAST,SCHOOL_OVERRIDE,10.6593164,-1.268658,7.8,-1.4
NEW LONGORO COMM SENIOR HIGH SCHOOL (DEGA),BONO EAST,SCHOOL_OVERRIDE,,,8.0,-2.45
KESSE BASAHYIA SENIOR HIGH SCHOOL,BONO EAST,SCHOOL_OVERRIDE,5.8771706,0.3662603,7.6833,-0.8
